255,255,0
28,230,255
255,52,255
255,0,0
0,255,0
50,50,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0
28,230,255
255,52,255
255,0,0
0,255,0
0,0,255
163,0,89
89, 163, 0

